engine,titled,moveNumber,rank,loss,advantage,ambiguous,timeConsistent,bot,blur
0,0,7,1,0,-6,1,0,0,0
0,0,8,1,1,-8,1,0,0,0
0,0,9,1,0,-3,1,1,0,0
0,0,11,2,4,-6,1,1,0,0
0,0,13,2,4,-9,1,0,0,0
0,0,15,1,1,-5,0,0,0,0
0,0,16,2,1,-2,1,0,0,0
0,0,17,2,1,-3,1,1,0,0
0,0,18,1,0,7,1,1,0,0
0,0,20,5,0,7,1,1,0,0
0,0,21,2,3,7,1,1,0,0
0,0,22,1,2,7,1,0,0,0
0,0,23,5,7,3,1,1,0,0
0,0,25,1,0,14,1,1,0,0
0,0,26,2,3,14,1,1,0,0
0,0,27,1,0,16,1,1,0,0
0,0,29,1,2,1,1,0,0,0
0,0,30,4,2,27,1,1,0,0
0,0,32,1,0,10,0,1,0,0
0,0,34,1,0,60,0,1,0,0
0,0,35,4,69,9,0,1,0,0
0,0,37,3,0,0,1,1,0,0
0,0,38,2,0,0,1,1,0,0
0,0,39,4,7,1,1,0,0,0
0,0,1,2,0,-7,1,0,0,2
0,0,2,3,0,-4,1,1,0,2
0,0,3,1,0,-4,0,1,0,2
0,0,4,2,2,0,1,1,0,2
0,0,5,1,0,0,0,0,0,2
0,0,6,2,0,0,1,1,0,2
0,0,7,2,0,0,1,1,0,2
0,0,8,1,0,13,1,1,0,2
0,0,9,2,1,14,1,1,0,2
0,0,10,5,5,11,1,1,0,2
0,0,11,2,0,27,1,1,0,2
0,0,12,1,0,47,0,1,0,2
0,0,13,1,2,44,0,1,0,2
0,0,14,4,14,48,1,1,0,2
0,0,16,1,0,47,1,1,0,2
0,0,17,3,5,36,1,0,0,2
0,0,18,1,1,36,0,1,0,2
0,0,19,4,4,38,1,0,0,2
0,0,21,4,11,46,0,0,0,2
0,0,22,2,7,42,1,0,0,2
0,0,23,1,0,48,1,1,0,2
0,0,24,3,10,39,0,1,0,2
0,0,26,2,0,36,1,0,0,2
0,0,28,1,0,62,0,0,0,2
0,0,29,1,0,94,0,1,0,2
0,0,30,1,0,95,1,1,0,2
0,0,31,1,0,96,1,1,0,2
0,0,32,1,0,98,1,1,0,2
0,0,33,2,0,99,1,1,0,2
0,0,34,1,0,99,1,1,0,2
0,0,35,2,0,100,1,1,0,2
0,0,37,1,0,100,1,1,0,2
0,0,41,1,0,100,1,1,0,2
0,0,42,1,0,100,1,0,0,2
0,0,43,1,0,100,1,0,0,2
0,0,44,1,0,100,1,0,0,2
0,0,45,3,0,100,1,1,0,2
0,0,46,1,0,100,1,1,0,2
0,0,47,1,0,100,1,1,0,2
0,0,48,1,0,100,1,0,0,2
0,0,49,1,200,-100,1,0,0,2
0,0,1,1,0,-2,1,0,0,1
0,0,2,3,0,-6,1,0,0,1
0,0,3,2,1,-5,1,1,0,1
0,0,4,5,14,-4,0,0,0,1
0,0,5,4,10,-2,0,0,0,1
0,0,6,3,7,0,0,0,0,1
0,0,8,4,19,-6,0,1,0,1
0,0,9,2,17,2,0,1,0,1
0,0,10,3,8,4,0,0,0,1
0,0,11,1,6,10,0,1,0,1
0,0,12,4,22,-3,0,1,0,1
0,0,13,1,0,0,0,0,0,1
0,0,14,1,2,14,0,1,0,1
0,0,15,1,0,11,0,1,0,1
0,0,16,1,2,32,0,1,0,1
0,0,17,1,3,47,0,1,0,1
0,0,18,4,27,22,0,0,0,1
0,0,19,5,28,20,0,1,0,1
0,0,20,4,3,20,0,1,0,1
0,0,21,2,19,19,0,1,0,1
0,0,22,1,0,30,0,0,0,1
0,0,23,2,44,-18,0,0,0,1
0,0,24,1,7,-18,0,1,0,1
0,0,25,2,1,-15,1,1,0,1
0,0,27,5,19,-36,1,0,0,1
0,0,29,1,0,-48,1,1,0,1
0,0,30,1,5,-43,0,0,0,1
0,0,32,1,0,-14,0,1,0,1
0,0,33,1,0,-1,0,1,0,1
0,0,34,2,33,-33,0,0,0,1
0,0,35,1,0,-35,1,1,0,1
0,0,38,4,3,-49,1,1,0,1
0,0,39,1,2,-4,0,1,0,1
0,0,40,1,0,-1,0,1,0,1
0,0,41,1,0,43,0,1,0,1
0,0,42,2,31,29,0,0,0,1
0,0,43,2,27,32,0,0,0,1
0,0,44,1,0,36,0,0,0,1
0,0,45,1,0,41,0,1,0,1
0,0,46,1,0,46,0,1,0,1
0,0,47,3,3,44,0,0,0,1
0,0,50,1,0,0,1,1,0,1
0,0,52,1,0,20,0,1,0,1
0,0,53,1,0,20,0,0,0,1
0,0,54,1,0,83,0,1,0,1
0,0,55,1,0,85,1,1,0,1
0,0,56,1,0,94,1,0,0,1
0,0,57,1,0,97,1,1,0,1
0,0,60,2,0,99,1,1,0,1
0,0,61,1,0,99,1,0,0,1
0,0,63,3,100,-100,0,1,0,1
0,0,64,1,0,-100,1,0,0,1
0,0,65,1,0,0,0,0,0,1
0,0,66,1,0,0,0,0,0,1
0,0,67,1,0,0,0,0,0,1
0,0,68,1,0,0,0,0,0,1
0,0,69,1,0,0,1,0,0,1
0,0,70,3,0,0,1,0,0,1
1,0,1,2,0,-3,1,0,0,46
1,0,2,1,1,-6,1,0,0,46
1,0,3,1,0,-3,0,0,0,46
1,0,4,1,0,-2,1,0,0,46
1,0,5,1,0,0,1,0,0,46
1,0,6,1,1,-2,1,0,0,46
1,0,7,1,0,0,1,1,0,46
1,0,8,1,0,0,1,1,0,46
1,0,9,1,1,0,1,1,0,46
1,0,10,1,0,0,1,1,0,46
1,0,11,1,1,0,1,0,0,46
1,0,12,2,0,2,1,1,0,46
1,0,13,1,5,1,1,0,0,46
1,0,14,1,0,7,1,1,0,46
1,0,15,2,2,8,1,1,0,46
1,0,16,2,4,9,1,0,0,46
1,0,17,2,0,24,1,0,0,46
1,0,18,1,2,19,1,0,0,46
1,0,19,2,4,17,1,0,0,46
